character,attributes
tokoyami_towa_(hololive),"1girl, medium_breasts, small_breasts, large_breasts, tail, demon_tail, twintails, pointy_ears, shirt, white_shirt, jewelry, hat"
mona_(genshin_impact),"1girl, medium_breasts, twintails, hat, gloves, leotard, witch_hat, jewelry, black_gloves, detached_sleeves, earrings, blue_leotard"
koharu_(blue_archive),"1girl, small_breasts, wings, head_wings, black_wings, feathered_wings, twintails, hat, black_hat, skirt, low_wings, long_sleeves"
oma_kokichi_(danganronpa_(series)),"1boy, long_sleeves, scarf, checkered_scarf, pants, two-tone_scarf, buttons, jacket, white_jacket, white_pants, hat, arm_belt"
nanashi_mumei_(hololive),"1girl, medium_breasts, large_breasts, skirt, crossed_bangs, shirt, ponytail, thighhighs, double-parted_bangs, white_shirt, black_thighhighs, choker"
gold_ship_(umamusume),"1girl, large_breasts, medium_breasts, animal_ears, horse_ears, blunt_bangs, hat, bow, pillbox_hat, brown_hat, dress, gloves"
minato_aqua_(hololive),"1girl, large_breasts, braid, twintails, bow, ribbon, hair_ribbon, blue_ribbon, shirt, white_shirt, collarbone, cleavage"
yuzuki_yukari_(voiceroid),"1girl, small_breasts, long_sleeves, jacket, black_jacket, shirt, double-parted_bangs, hood, open_jacket, collarbone, dress, frills"
scathach_(fate),"1girl, large_breasts, huge_breasts, cleavage, bodysuit, jewelry, long_sleeves, armor, purple_bodysuit, shoulder_armor, bikini, leotard"
suzuya_(kancolle),"1girl, large_breasts, bow, shirt, jacket, skirt, bowtie, white_shirt, brown_jacket, cardigan, swimsuit, thighhighs"
nagato_yuki_(suzumiya_haruhi_no_yuuutsu),"1girl, school_uniform, kita_high_school_uniform, sailor_collar, winter_uniform, blue_sailor_collar, cardigan, long_sleeves, serafuku, skirt, blue_skirt, glasses"
kyubey_(mahou_shoujo_madoka_magica),"1girl, bow, twintails, skirt, frills, dress, short_twintails, hair_bow, ribbon, long_sleeves, puffy_sleeves, short_sleeves"
nakano_azusa_(k-on!),"1girl, twintails, school_uniform, sakuragaoka_high_school_uniform, skirt, ribbon, long_sleeves, shirt, jacket, winter_uniform, neck_ribbon, red_ribbon"
dawn_(pokemon),"1girl, small_breasts, hat, white_hat, scarf, shirt, red_scarf, skirt, boots, pink_skirt, black_shirt, pink_boots"
pyra_(xenoblade),"1girl, large_breasts, tiara, jewelry, earrings, swept_bangs, gloves, shorts, fingerless_gloves, red_shorts, thighhighs, black_gloves"
tamamo_no_mae_(fate),"1girl, large_breasts, animal_ears, fox_ears, tail, fox_tail, cleavage, bow, detached_sleeves, hair_bow, thighhighs, kimono"
rice_shower_(umamusume),"1girl, small_breasts, animal_ears, horse_ears, flower, blue_flower, hat, dress, tilted_headwear, horse_tail, tail, hat_flower"
fern_(sousou_no_frieren),"1girl, large_breasts, huge_breasts, blunt_bangs, dress, white_dress, long_sleeves, coat, robe, black_coat, black_robe, purple_hair"
march_7th_(honkai:_star_rail),"1girl, medium_breasts, large_breasts, gloves, flower, hair_flower, black_gloves, shirt, jewelry, long_sleeves, white_shirt, dress"
lillie_(pokemon),"1girl, small_breasts, braid, dress, hat, white_dress, twin_braids, ponytail, white_hat, sleeveless_dress, sun_hat, blunt_bangs"
ryuujou_(kancolle),"1girl, flat_chest, twintails, skirt, pleated_skirt, shirt, long_sleeves, black_skirt, hat, white_shirt, swimsuit, collared_shirt"
kita_ikuyo_(bocchi_the_rock!),"1girl, medium_breasts, small_breasts, shirt, bow, skirt, school_uniform, long_sleeves, side_ponytail, red_bow, short_sleeves, collarbone"
reze_(chainsaw_man),"1girl, large_breasts, small_breasts, medium_breasts, choker, black_choker, shirt, white_shirt, sleeveless_shirt, ribbon, neck_ribbon, black_ribbon"
tomoe_mami_(magical_girl),"1girl, large_breasts, medium_breasts, hat, corset, skirt, gloves, thighhighs, fingerless_gloves, detached_sleeves, yellow_skirt, shirt"
phainon_(honkai:_star_rail),"1boy, shirt, choker, black_choker, armor, long_sleeves, shoulder_armor, pants, black_shirt, parted_bangs, coat, jacket"
hirasawa_yui_(k-on!),"1girl, shirt, skirt, school_uniform, sakuragaoka_high_school_uniform, ribbon, long_sleeves, white_shirt, jacket, neck_ribbon, pleated_skirt, blue_skirt"
toramaru_shou_(touhou),"1girl, long_sleeves, puffy_sleeves, frills, dress, ribbon, wide_sleeves, neck_ribbon, multicolored_hair, blonde_hair, short_hair, two-tone_hair"
chun-li_(street_fighter),"1girl, large_breasts, jewelry, bracelet, earrings, dress, spiked_bracelet, china_dress, ribbon, hair_ribbon, short_sleeves, swimsuit"
kaito_(vocaloid),"1boy, long_sleeves, scarf, blue_scarf, shirt, pants, coat, white_coat, black_shirt, double-parted_bangs, jacket, jewelry"
matoi_ryuuko_(kill_la_kill),"1girl, medium_breasts, large_breasts, skirt, shirt, school_uniform, gloves, collarbone, jacket, serafuku, black_skirt, sailor_collar"
himekaidou_hatate_(touhou),"1girl, hat, twintails, tokin_hat, shirt, skirt, short_sleeves, necktie, pointy_ears, white_shirt, checkered_skirt, collared_shirt"
kinomoto_sakura_(cardcaptor_sakura),"1girl, dress, shirt, hat, gloves, school_uniform, sailor_collar, wings, white_gloves, white_sailor_collar, skirt, tomoeda_elementary_school_uniform"
jeanne_d'arc_(fate),"1girl, large_breasts, medium_breasts, braid, dress, long_sleeves, thighhighs, swimsuit, wings, angel_wings, feathered_wings, white_dress"
nagasaki_soyo_(bang_dream!),"1girl, large_breasts, shirt, long_sleeves, skirt, school_uniform, tsukinomori_school_uniform, blue_shirt, shoes, dress, blue_skirt, white_shirt"
miki_sayaka_(magical_girl),"1girl, cape, white_cape, gloves, skirt, white_gloves, blue_skirt, thighhighs, detached_sleeves, shirt, white_thighhighs, strapless_shirt"
ellen_joe_(zenless_zone_zero),"1girl, large_breasts, tail, fish_tail, shark_tail, maid_headdress, shirt, dress, white_shirt, black_dress, skirt, scar_on_tail"
may_(pokemon),"1girl, large_breasts, small_breasts, shirt, red_shirt, bike_shorts, shorts, gloves, bow, bow_hairband, sleeveless_shirt, shoes"
keqing_(genshin_impact),"1girl, medium_breasts, large_breasts, twintails, dress, purple_dress, detached_sleeves, gloves, flower, bow, cleavage, hair_flower"
serval_(kemono_friends),"1girl, large_breasts, animal_ears, tail, extra_ears, gloves, elbow_gloves, cat_ears, bow, shirt, bowtie, skirt"
seia_(blue_archive),"1girl, small_breasts, flat_chest, animal_ears, fox_ears, extra_ears, swimsuit, one-piece_swimsuit, white_one-piece_swimsuit, tail, fox_tail, jacket"
houshou_(kancolle),"1girl, medium_breasts, ponytail, kimono, skirt, ribbon, hair_ribbon, shirt, thighhighs, pink_kimono, hakama_skirt, animal_ears"
murasa_minamitsu_(touhou),"1girl, small_breasts, hat, shirt, white_shirt, sailor_hat, short_sleeves, white_hat, shorts, white_shorts, belt, black_belt"
rosa_(pokemon),"1girl, large_breasts, medium_breasts, twintails, shirt, raglan_sleeves, shorts, yellow_shorts, pantyhose_under_shorts, hat, white_shirt, bow"
joseph_joestar_(jojo_no_kimyou_na_bouken),"1boy, old_man, gloves, shirt, scarf, fingerless_gloves, striped_scarf, pants, black_gloves, sleeveless_shirt, green_scarf, animal_ears"
takamachi_nanoha_(lyrical_nanoha),"1girl, large_breasts, side_ponytail, twintails, skirt, long_sleeves, jacket, ribbon, gloves, shirt, fingerless_gloves, hair_ribbon"
hinoshita_kaho_(link!_like!_love_live!),"1girl, medium_breasts, dress, long_sleeves, hasu_no_sora_school_uniform, sailor_collar, school_uniform, winter_uniform, white_sailor_collar, sailor_dress, brown_dress, crossed_bangs"
princess_peach_(mario_(series)),"1girl, large_breasts, medium_breasts, jewelry, earrings, sphere_earrings, crown, gloves, dress, white_gloves, elbow_gloves, pink_dress"
nishikino_maki_(love_live!),"1girl, medium_breasts, large_breasts, shirt, bow, school_uniform, otonokizaka_school_uniform, skirt, white_shirt, bowtie, jacket, collarbone"
venti_(genshin_impact),"1boy, braid, twin_braids, shirt, hat, long_sleeves, flower, white_shirt, cape, green_hat, bow, shorts"
kaku_seiga_(touhou),"1girl, large_breasts, medium_breasts, dress, blue_dress, short_sleeves, puffy_sleeves, puffy_short_sleeves, cleavage, flower, frills, frilled_dress"
texas_(arknights),"1girl, medium_breasts, animal_ears, wolf_ears, shirt, gloves, jacket, long_sleeves, shorts, tail, wolf_tail, fingerless_gloves"
gilgamesh_(fate),"1boy, jewelry, earrings, shirt, gold_earrings, long_sleeves, armor, gold_armor, jacket, collared_shirt, high_collar, white_shirt"
karin_(blue_archive),"1girl, large_breasts, huge_breasts, cleavage, ponytail, bow, animal_ears, fake_animal_ears, bowtie, rabbit_ears, gloves, leotard"
daiwa_scarlet_(umamusume),"1girl, large_breasts, huge_breasts, animal_ears, horse_ears, twintails, tiara, horse_tail, tail, bow, fang, shirt"
mythra_(xenoblade),"1girl, large_breasts, huge_breasts, cleavage, jewelry, earrings, tiara, dress, swimsuit, bikini, white_dress, swept_bangs"
nishikigi_chisato_(lycoris_recoil),"1girl, large_breasts, medium_breasts, ribbon, hair_ribbon, red_ribbon, shirt, dress, lycoris_uniform, shoes, socks, red_dress"
mejiro_mcqueen_(umamusume),"1girl, small_breasts, animal_ears, horse_ears, bow, ear_bow, horse_tail, tail, aqua_bow, ear_ribbon, long_sleeves, shirt"
marnie_(pokemon),"1girl, small_breasts, asymmetrical_bangs, ribbon, twintails, hair_ribbon, choker, black_choker, jewelry, earrings, dress, jacket"
paimon_(genshin_impact),"1girl, medium_breasts, long_sleeves, dress, flower, white_dress, thighhighs, scarf, boots, white_hair, hair_ornament, hair_between_eyes"
caelus_(honkai:_star_rail),"1boy, shirt, white_shirt, gloves, jacket, black_gloves, fingerless_gloves, long_sleeves, open_jacket, hood, black_jacket, t-shirt"
kafuu_chino_(gochuumon_wa_usagi_desu_ka?),"1girl, loli, small_breasts, shirt, skirt, bow, long_sleeves, ribbon, dress, hat, white_shirt, frills"
okita_souji_(fate),"1girl, large_breasts, medium_breasts, bow, hair_bow, black_bow, kimono, scarf, black_scarf, long_sleeves, sash, white_kimono"
suletta_mercury_(gundam),"1girl, large_breasts, medium_breasts, school_uniform, jacket, asticassia_school_uniform, ponytail, long_sleeves, shorts, white_jacket, low_ponytail, shirt"
saihara_shuichi_(danganronpa_(series)),"1boy, jacket, long_sleeves, black_jacket, buttons, hat, collared_jacket, shirt, pinstripe_jacket, black_hat, collared_shirt, pants"
rover_(wuthering_waves),"1girl, 1boy, medium_breasts, large_breasts, jewelry, earrings, jacket, gloves, triangle_earrings, dress, ribbon, yellow_ribbon"
hata_no_kokoro_(touhou),"1girl, mask, shirt, long_sleeves, skirt, mask_on_head, plaid_shirt, bow, fox_mask, bowtie, orange_skirt, skirt_cutout"
sonoda_umi_(love_live!),"1girl, bow, shirt, jacket, skirt, long_sleeves, white_shirt, bowtie, gloves, school_uniform, red_bow, short_sleeves"
tojo_nozomi_(love_live!),"1girl, large_breasts, twintails, low_twintails, thighhighs, shirt, cleavage, skirt, white_shirt, bow, swimsuit, black_thighhighs"
amatsukaze_(kancolle),"1girl, small_breasts, flat_chest, dress, sailor_collar, thighhighs, sailor_dress, garter_straps, long_sleeves, white_sailor_collar, gloves, hat"
noa_(blue_archive),"1girl, large_breasts, jacket, long_sleeves, white_jacket, shirt, white_shirt, necktie, skirt, blue_necktie, cleavage, headphones"
hilda_(pokemon),"1girl, medium_breasts, large_breasts, small_breasts, hat, ponytail, shorts, shirt, high_ponytail, white_shirt, denim_shorts, blue_shorts"
murakumo_(kancolle),"1girl, medium_breasts, small_breasts, hair_ribbon, ribbon, tress_ribbon, dress, blunt_bangs, gloves, necktie, red_necktie, sailor_dress"
kafka_(honkai:_star_rail),"1girl, large_breasts, shirt, white_shirt, gloves, jacket, purple_gloves, black_jacket, long_sleeves, shorts, sunglasses, high-waist_shorts"
ookami_mio_(hololive),"1girl, large_breasts, animal_ears, wolf_ears, tail, wolf_tail, skirt, shirt, long_sleeves, black_skirt, white_shirt, jacket"
kujo_jotaro_(jojo_no_kimyou_na_bouken),"1boy, hat, coat, shirt, jewelry, earrings, school_uniform, belt, stud_earrings, black_hat, pants, long_sleeves"
oyama_mahiro_(onii-chan_wa_oshimai!),"1girl, loli, small_breasts, flat_chest, shirt, skirt, white_shirt, long_sleeves, bow, frills, pleated_skirt, collarbone"
plana_(blue_archive),"1girl, braid, choker, single_braid, sailor_collar, black_choker, school_uniform, serafuku, black_sailor_collar, black_serafuku, long_sleeves, bow"
cyrene_(honkai:_star_rail),"1girl, large_breasts, medium_breasts, dress, white_dress, pointy_ears, flower, hair_flower, jewelry, earrings, detached_sleeves, hat"
amane_kanata_(hololive),"1girl, small_breasts, wings, angel_wings, feathered_wings, jacket, white_wings, long_sleeves, shirt, dress, mini_wings, gloves"
shuten_douji_(fate),"1girl, small_breasts, horns, skin-covered_horns, kimono, purple_kimono, fangs, pointy_ears, long_sleeves, purple_hair, short_hair, purple_eyes"
basil_(omori),"1boy, shirt, double-parted_bangs, flower, collared_shirt, short_sleeves, sweater_vest, white_shirt, hair_flower, flower_wreath, green_shirt, long_sleeves"
samus_aran_(metroid),"1girl, large_breasts, ponytail, bodysuit, zero_suit, blue_bodysuit, power_suit_(metroid), high_ponytail, armor, varia_suit, power_armor, blonde_hair"
yazawa_nico_(love_live!),"1girl, small_breasts, twintails, bow, hair_bow, bowtie, school_uniform, red_bow, otonokizaka_school_uniform, skirt, long_sleeves, shirt"
belle_(zenless_zone_zero),"1girl, large_breasts, medium_breasts, shirt, jewelry, earrings, cleavage, crossed_bangs, black_shirt, thighhighs, shorts, swimsuit"
emiya_shirou_(fate_(series)),"1boy, shirt, jacket, pants, cape, choppy_bangs, long_sleeves, white_cape, black_pants, white_shirt, red_hair, short_hair"
astolfo_(fate),"1boy, bow, hair_bow, braid, black_bow, single_braid, fang, skin_fang, thighhighs, skirt, shirt, black_thighhighs"
gawr_gura_(1st_costume),"1girl, hood, hoodie, blue_hoodie, fish_tail, tail, shark_tail, long_sleeves, hood_down, blunt_bangs, animal_hood, shark_hood"
tainaka_ritsu_(k-on!),"1girl, shirt, school_uniform, sakuragaoka_high_school_uniform, jacket, white_shirt, skirt, winter_uniform, ribbon, neck_ribbon, long_sleeves, collared_shirt"
oozora_subaru_(hololive),"1girl, medium_breasts, shirt, hat, jacket, shorts, skirt, swept_bangs, white_shirt, long_sleeves, bow, short_sleeves"
nagae_iku_(touhou),"1girl, hat, frills, black_hat, skirt, capelet, black_skirt, shirt, long_sleeves, frilled_capelet, white_shirt, bow"
yamato_(kancolle),"1girl, large_breasts, ponytail, flower, hair_flower, skirt, shirt, thighhighs, pleated_skirt, detached_sleeves, white_shirt, white_skirt"
ibaraki_kasen_(touhou),"1girl, large_breasts, medium_breasts, shirt, skirt, white_shirt, short_sleeves, flower, green_skirt, puffy_sleeves, puffy_short_sleeves, pink_flower"
ushio_(kancolle),"1girl, large_breasts, skirt, sailor_collar, shirt, school_uniform, serafuku, white_shirt, pleated_skirt, blue_sailor_collar, blue_skirt, short_sleeves"
sunny_(omori),"1boy, shirt, collared_shirt, sweater_vest, double-parted_bangs, short_sleeves, white_shirt, black_sweater_vest, shorts, socks, shoes, short_hair"
shibuya_rin_(idolmaster),"1girl, medium_breasts, jewelry, shirt, white_shirt, skirt, necktie, school_uniform, earrings, gloves, bow, long_sleeves"
yukikaze_(kancolle),"1girl, dress, sailor_collar, long_sleeves, sailor_dress, white_dress, flower, hair_flower, blue_sailor_collar, shirt, skirt, hat"
midoriya_izuku_(boku_no_hero_academia),"1boy, shirt, gloves, white_shirt, collared_shirt, jacket, necktie, bodysuit, pants, cape, white_gloves, short_hair"
denji_(chainsaw_man),"1boy, 1girl, shirt, white_shirt, necktie, collared_shirt, black_necktie, jacket, pants, black_pants, long_sleeves, short_hair"
miyako_yoshika_(touhou),"1girl, medium_breasts, hat, shirt, red_shirt, hat_ornament, star_hat_ornament, skirt, short_sleeves, black_skirt, ribbon, neck_ribbon"
monkey_d._luffy_(one_piece),"1boy, hat, straw_hat, shirt, shorts, red_shirt, sash, open_shirt, sandals, blue_shorts, white_shirt, white_shorts"
yukihana_lamy_(hololive),"1girl, large_breasts, medium_breasts, pointy_ears, flower, hair_flower, shirt, cleavage, jacket, long_sleeves, white_flower, white_shirt"
ijichi_nijika_(bocchi_the_rock!),"1girl, small_breasts, side_ponytail, shirt, bow, red_bow, white_shirt, bowtie, skirt, braid, choppy_bangs, long_sleeves"
arona_(blue_archive),"1girl, loli, braid, skirt, shirt, sailor_collar, bow, bow_hairband, single_braid, white_skirt, choker, long_sleeves"
cynthia_(pokemon),"1girl, large_breasts, medium_breasts, fur_collar, coat, long_sleeves, black_coat, pants, black_pants, fur-trimmed_sleeves, fur-trimmed_coat, shirt"
iseri_nina_(girls_band_cry),"1girl, twintails, short_twintails, low_twintails, shirt, jacket, white_shirt, long_sleeves, skirt, open_jacket, blue_jacket, shoes"
kiana_kaslana_(honkai_(series)),"1girl, large_breasts, medium_breasts, dress, cleavage, ponytail, white_dress, gloves, high_ponytail, black_dress, braid, twin_braids"
komaeda_nagito_(danganronpa_(series)),"1boy, shirt, jacket, long_sleeves, hood, white_shirt, hood_down, open_jacket, green_jacket, collarbone, hooded_jacket, pants"
kamisato_ayaka_(genshin_impact),"1girl, medium_breasts, large_breasts, ponytail, blunt_bangs, ribbon, long_sleeves, hair_ribbon, dress, flower, blue_dress, hat"
ayase_eli_(love_live!),"1girl, large_breasts, medium_breasts, ponytail, bow, shirt, skirt, school_uniform, white_shirt, long_sleeves, otonokizaka_school_uniform, high_ponytail"
watson_amelia_(hololive),"1girl, large_breasts, medium_breasts, shirt, white_shirt, skirt, hat, necktie, red_necktie, collared_shirt, long_sleeves, brown_skirt"
momoi_(blue_archive),"1girl, animal_ears, fake_animal_ears, headphones, animal_ear_headphones, cat_ears, cat_ear_headphones, bow, hair_bow, shirt, tail, long_sleeves"
saber_alter_(fate_(series)),"1girl, medium_breasts, small_breasts, dress, braid, ribbon, black_dress, cleavage, long_sleeves, hair_ribbon, bow, black_ribbon"
